HUGO	Label	UNIPROT_KB_ID
CYB5R3	LABEL	P00387
CYBA	LABEL	P13498
CYBB	LABEL	P04839
CYCS	LABEL	P99999
CYP11A1	LABEL	P05108
CYP11B1	LABEL	P15538
CYP11B2	LABEL	P19099
CYP17A1	LABEL	P05093
CYP19A1	LABEL	P11511
CYP1A1	LABEL	P04798
CYP1A2	LABEL	P05177
CYP1B1	LABEL	Q16678
CYP26A1	LABEL	O43174
CYP27B1	LABEL	O15528
CYP2A13	LABEL	Q16696
CYP2A6	LABEL	P11509
CYP2B6	LABEL	P20813
CYP2C18	LABEL	P33260
CYP2C19	LABEL	P33261
CYP2C8	LABEL	P10632
CYP2C9	LABEL	P11712
CYP2D6	LABEL	P10635
CYP2E1	LABEL	P05181
CYP2J2	LABEL	P51589
CYP3A4	LABEL	P08684
CYP3A43	LABEL	Q9HB55
CYP3A5	LABEL	P20815
CYP3A7	LABEL	P24462
CYP4A11	LABEL	Q02928
CYP51A1	LABEL	Q16850
CYP7A1	LABEL	P22680
CYSLTR1	LABEL	Q9Y271
CYSLTR2	LABEL	Q9NS75
CYTH2	LABEL	Q99418
DAGLA	LABEL	Q9Y4D2
DAGLB	LABEL	Q8NCG7
DAO	LABEL	P14920
DAPK3	LABEL	O43293
DARS	LABEL	P14868
DARS2	LABEL	Q6PI48
DBH	LABEL	P09172
DBI	LABEL	P07108
DCK	LABEL	P27707
DCLK2	LABEL	Q8N568
DCN	LABEL	P07585
DDAH1	LABEL	O94760
DDAH2	LABEL	O95865
DDC	LABEL	P20711
DDR1	LABEL	Q08345
DDR2	LABEL	Q16832
DGAT1	LABEL	O75907
DGAT2	LABEL	Q96PD7
DGKA	LABEL	P23743
DHCR7	LABEL	Q9UBM7
DHFR	LABEL	P00374
DHH	LABEL	O43323
DHODH	LABEL	Q02127
DHPS	LABEL	P49366
DHRS3	LABEL	O75911
DHRS4	LABEL	Q9BTZ2
DIO1	LABEL	P49895
DKK1	LABEL	O94907
DLAT	LABEL	P10515
DLD	LABEL	P09622
DLG4	LABEL	P78352
DMD	LABEL	P11532
DMPK	LABEL	Q09013
DNM1	LABEL	Q05193
DNM1L	LABEL	O00429
DNM2	LABEL	P50570
DNMT1	LABEL	P26358
DNMT3A	LABEL	Q9Y6K1
DNMT3B	LABEL	Q9UBC3
DNPEP	LABEL	Q9ULA0
DOT1L	LABEL	Q8TEK3
DPEP1	LABEL	P16444
DPP4	LABEL	P27487
DPP7	LABEL	Q9UHL4
DPYD	LABEL	Q12882
DRD1	LABEL	P21728
DRD2	LABEL	P14416
DRD3	LABEL	P35462
DRD4	LABEL	P21917
DRD5	LABEL	P21918
DYRK1A	LABEL	Q13627
DYRK1B	LABEL	Q9Y463
EARS2	LABEL	Q5JPH6
EBP	LABEL	Q15125
EDNRA	LABEL	P25101
EDNRB	LABEL	P24530
EED	LABEL	O75530
EEF2	LABEL	P13639
EGFR	LABEL	P00533
EGLN1	LABEL	Q9GZT9
EGLN2	LABEL	Q96KS0
EGLN3	LABEL	Q9H6Z9
EHHADH	LABEL	Q08426
EHMT1	LABEL	Q9H9B1
EHMT2	LABEL	Q96KQ7
EIF2A	LABEL	Q9BY44
EIF2AK3	LABEL	Q9NZJ5
EIF2AK4	LABEL	Q9P2K8
EIF2S1	LABEL	P05198
EIF4E	LABEL	P06730
EIF4G1	LABEL	Q04637
EIF5A	LABEL	P63241
ELANE	LABEL	P08246
ELN	LABEL	P15502
ELOVL4	LABEL	Q9GZR5
ENOX2	LABEL	Q16206
ENPEP	LABEL	Q07075
ENPP1	LABEL	P22413
ENPP2	LABEL	Q13822
ENTPD3	LABEL	O75355
EP300	LABEL	Q09472
EPAS1	LABEL	Q99814
EPHA1	LABEL	P21709
EPHA10	LABEL	Q5JZY3
EPHA2	LABEL	P29317
EPHA3	LABEL	P29320
EPHA4	LABEL	P54764
